timestamp,price,action,timeframe,status,entry_price,exit_time,exit_price,result,signal_id,strategy_name,candles,trade_id,entry_time
,,buy,120,completed,68254.72409257275,1718237018.853,68196.01790768326,loss,1718236717475,SMA Crossover,"[(1718236902.049, 68254.72409257275), (1718236907.051, 68245.89203577959), (1718236912.059, 68230.73993373619), (1718236917.045, 68228.50236047087), (1718236922.056, 68228.50236047087), (1718236927.063, 68232.16217142722), (1718236932.048, 68235.13360727618), (1718236937.047, 68242.34438723835), (1718236942.058, 68234.1263378239), (1718236947.045, 68202.08966208324), (1718236952.051, 68203.47243183594), (1718236957.055, 68203.15968549122), (1718236962.053, 68200.5521480535), (1718236967.051, 68199.56900096253), (1718236972.06, 68191.43424012628), (1718236977.044, 68188.39008963756), (1718236982.053, 68195.87544900837), (1718236987.118, 68189.76555662554), (1718236992.055, 68193.60504215557), (1718236997.053, 68190.53934803617), (1718237002.121, 68198.41593701497), (1718237008.987, 68195.72611525728), (1718237014.053, 68195.47915370853), (1718237018.853, 68196.01790768326)]",,1718236897.4751966
,,sell,60,completed,68191.43424012628,1718237028.419,68190.47508628646,win,1718236787411,RSI Overbought,"[(1718236972.06, 68191.43424012628), (1718236977.044, 68188.39008963756), (1718236982.053, 68195.87544900837), (1718236987.118, 68189.76555662554), (1718236992.055, 68193.60504215557), (1718236997.053, 68190.53934803617), (1718237002.121, 68198.41593701497), (1718237008.987, 68195.72611525728), (1718237014.053, 68195.47915370853), (1718237022.146, 68184.9085271463), (1718237028.419, 68190.47508628646)]",,1718236967.4112017
,,sell,60,completed,68189.00848490496,1718237097.047,68178.0325917093,win,1718236852869,RSI Overbought,"[(1718237038.181, 68189.00848490496), (1718237042.067, 68189.37035760948), (1718237048.297, 68183.41976552978), (1718237052.154, 68182.85446911977), (1718237057.22, 68188.03757592129), (1718237062.122, 68182.25989876341), (1718237067.062, 68180.76712176176), (1718237072.068, 68180.76712176176), (1718237077.065, 68175.52366452401), (1718237082.057, 68167.95319152181), (1718237087.053, 68166.9463598162), (1718237092.067, 68166.9463598162), (1718237097.047, 68178.0325917093)]",,1718237032.8691728
,,buy,120,completed,68077.36378993685,1718237667.046,68075.79005953179,loss,1718237362469,SMA Crossover,"[(1718237548.337, 68077.36378993685), (1718237552.137, 68082.14597274261), (1718237557.229, 68083.70945829114), (1718237562.143, 68080.7727134535), (1718237567.141, 68067.95039969776), (1718237573.222, 68076.80670575231), (1718237577.143, 68063.92469522698), (1718237582.124, 68067.028310699), (1718237587.066, 68066.14455795343), (1718237592.054, 68067.34662700357), (1718237597.053, 68063.15122774888), (1718237602.065, 68063.15122774888), (1718237607.051, 68068.20208387397), (1718237612.073, 68064.64503074363), (1718237617.062, 68056.70227876531), (1718237622.048, 68056.33642852546), (1718237627.049, 68059.44880979472), (1718237632.058, 68063.31340404927), (1718237637.053, 68073.24540845338), (1718237642.051, 68077.06183920779), (1718237647.049, 68078.2048950237), (1718237652.052, 68080.49499905642), (1718237657.049, 68075.90755365446), (1718237662.068, 68075.90755365446), (1718237667.046, 68075.79005953179)]",,1718237542.469819
,,buy,120,completed,68069.49985742394,1718237962.057,68046.05253850913,loss,1718237657495,SMA Crossover,"[(1718237842.05, 68069.49985742394), (1718237847.045, 68069.00301136677), (1718237852.054, 68073.55396062149), (1718237857.054, 68073.55396062149), (1718237862.051, 68063.24217068612), (1718237867.051, 68074.21088128941), (1718237872.063, 68074.21088128941), (1718237877.045, 68076.09395108683), (1718237882.064, 68068.53002465072), (1718237887.064, 68066.03990258272), (1718237892.059, 68066.53610330835), (1718237897.062, 68064.13148981755), (1718237902.15, 68054.45408584514), (1718237907.122, 68033.09210765854), (1718237912.127, 68036.04682020983), (1718237917.127, 68026.27095613083), (1718237922.783, 68027.47696832924), (1718237928.823, 68053.85675181242), (1718237932.131, 68046.40574729913), (1718237937.067, 68044.1479407141), (1718237942.066, 68044.48639802831), (1718237947.064, 68050.0247621529), (1718237952.068, 68038.09141314561), (1718237957.054, 68042.71708507423), (1718237962.057, 68046.05253850913)]",,1718237837.4955294
,,sell,60,completed,68156.14507832186,1718238342.048,68171.43437187238,loss,1718238098405,RSI Overbought,"[(1718238282.134, 68156.14507832186), (1718238287.061, 68157.76248935712), (1718238292.063, 68157.73364433736), (1718238297.045, 68154.03085335933), (1718238302.051, 68154.01097802624), (1718238307.064, 68159.88221280985), (1718238312.059, 68163.76627427443), (1718238317.051, 68163.14051333835), (1718238322.06, 68156.02202014088), (1718238327.046, 68172.91801236315), (1718238332.065, 68172.62386189855), (1718238337.052, 68172.62386189855), (1718238342.048, 68171.43437187238)]",,1718238278.4054227
,,sell,60,completed,68169.12415463944,1718238407.047,68189.03846018578,loss,1718238162421,RSI Overbought,"[(1718238347.052, 68169.12415463944), (1718238352.068, 68171.79117645985), (1718238357.045, 68162.95122066219), (1718238362.058, 68173.82094051194), (1718238367.064, 68175.34504459491), (1718238372.052, 68171.89949238647), (1718238377.046, 68168.74536481501), (1718238382.061, 68167.85330127706), (1718238387.046, 68183.8714569059), (1718238392.051, 68185.07910010233), (1718238397.052, 68185.43779417955), (1718238402.052, 68183.74457657083), (1718238407.047, 68189.03846018578)]",,1718238342.421311
,,sell,60,completed,68191.02378066738,1718238473.225,68163.88663805398,win,1718238227438,RSI Overbought,"[(1718238412.056, 68191.02378066738), (1718238417.046, 68189.54487747884), (1718238422.071, 68186.24395356208), (1718238427.062, 68193.51251414379), (1718238432.049, 68200.67329378752), (1718238437.051, 68186.08912956138), (1718238443.341, 68186.08912956138), (1718238447.635, 68181.01117861873), (1718238452.242, 68176.03496709268), (1718238457.133, 68174.10512147241), (1718238463.835, 68167.00194560403), (1718238467.144, 68167.00194560403), (1718238473.225, 68163.88663805398)]",,1718238407.438402
,,buy,120,completed,67667.43723408639,1718264332.068,67660.46790853025,loss,1718264029127,SMA Crossover,"[(1718264212.334, 67667.43723408639), (1718264218.037, 67665.63372560871), (1718264222.13, 67666.71877404224), (1718264228.239, 67667.07234160203), (1718264232.226, 67662.65058830024), (1718264237.133, 67662.84377484239), (1718264242.064, 67659.94391462265), (1718264247.061, 67653.32510696158), (1718264252.063, 67656.99326117524), (1718264257.062, 67655.77545191805), (1718264262.047, 67652.6427011309), (1718264267.046, 67654.23815181808), (1718264272.06, 67656.98769980067), (1718264277.044, 67659.37173978552), (1718264282.065, 67659.37173978552), (1718264287.065, 67659.65671827222), (1718264292.051, 67664.79393700011), (1718264297.049, 67667.75463194096), (1718264302.054, 67669.2229654909), (1718264307.045, 67662.25710543165), (1718264312.053, 67656.41963830806), (1718264317.06, 67656.41963830806), (1718264322.056, 67656.2065187845), (1718264327.048, 67656.20078985278), (1718264332.068, 67660.46790853025)]",,1718264209.1270897
,,buy,120,completed,67617.42331540203,1718264617.062,67623.24362276247,win,1718264312884,SMA Crossover,"[(1718264497.049, 67617.42331540203), (1718264502.048, 67611.90157787375), (1718264507.063, 67614.85495808379), (1718264512.063, 67612.27133869898), (1718264517.045, 67609.52736450885), (1718264522.05, 67607.7405045522), (1718264527.065, 67607.66917825461), (1718264532.047, 67606.9998333303), (1718264537.047, 67607.05306602026), (1718264542.052, 67606.45747287046), (1718264547.887, 67604.89392353175), (1718264552.549, 67605.06098515535), (1718264557.647, 67603.57837181928), (1718264562.138, 67606.4621187831), (1718264567.129, 67606.82822141856), (1718264573.522, 67605.13583408734), (1718264577.235, 67611.28056442393), (1718264582.146, 67608.84048336721), (1718264587.633, 67606.27695886724), (1718264594.621, 67611.83977117877), (1718264598.032, 67610.1029743481), (1718264602.133, 67609.92705713076), (1718264607.062, 67617.308971252), (1718264612.057, 67621.41613999041), (1718264617.062, 67623.24362276247)]",,1718264492.8845773
